Response,Group,Share,Response_FR,Group_FR
Many times a day,All Parents,15%,,
About once or twice a day,All Parents,13%,,
A few times during the week,All Parents,9%,,
Rarely during the week,All Parents,14%,,
Never,All Parents,38%,,
Not confident I would know,All Parents,10%,,
