Response,Group,Share,Response_FR,Group_FR
Bell-to-bell,All Parents,38%,,
Instructional time only,All Parents,37%,,
Varies by teacher,All Parents,15%,,
There are no restrictions; students decide when to use their phones,All Parents,4%,,
Other or don't know,All Parents,6%,,
Bell-to-bell,Rest of Canada,29%,,
Instructional time only,Rest of Canada,41%,,
Varies by teacher,Rest of Canada,19%,,
There are no restrictions; students decide when to use their phones,Rest of Canada,5%,,
Other or don't know,Rest of Canada,7%,,
Bell-to-bell,Quebec,71%,,
Instructional time only,Quebec,21%,,
Varies by teacher,Quebec,3%,,
There are no restrictions; students decide when to use their phones,Quebec,1%,,
Other or don't know,Quebec,3%,,
