Response,Year,Share,Response_FR,Group_FR
Bell-to-bell,2025,34%,,
Instructional time only,2025,40%,,
Let teachers decide case by case,2025,16%,,
No restrictions,2025,2%,,
Other or don't know,2025,8%,,
Bell-to-bell,2026,40%,,
Instructional time only,2026,47%,,
Let teachers decide case by case,2026,9%,,
No restrictions,2026,1%,,
Other or don't know,2026,3%,,
