Statement,Group,Share,Statement_FR
Strongly support,Canadian Residents,59%,Fortement favorable
Somewhat support,Canadian Residents,28%,Plutôt favorable
Neutral,Canadian Residents,6%,Neutre
Somewhat oppose,Canadian Residents,4%,Plutôt défavorable
Strongly oppose,Canadian Residents,2%,Fortement défavorable
Don’t know,Canadian Residents,1%,Je ne sais pas
