Response,Group,Share,Response_FR,Group_FR
Any use,Bell-to-bell,38%,,
Never,Bell-to-bell,57%,,
I am not confident that I know this,Bell-to-bell,5%,,
Any use,Instructional time only,60%,,
Never,Instructional time only,27%,,
I am not confident that I know this,Instructional time only,13%,,
Any use,Varies by teacher,71%,,
Never,Varies by teacher,15%,,
I am not confident that I know this,Varies by teacher,14%,,
